Year,Region,PRECTOTCORR_sum,T2M_mean,T2M_MAX_mean,T2M_MIN_mean,ALLSKY_SFC_SW_DWN_mean,RH2M_mean,WS10M_mean,PRECTOTCORR_automne,PRECTOTCORR_hiver,PRECTOTCORR_printemps
1981,Béni Mellal-Khénifra,187.4,12.77,20.43,6.89,,55.25,2.51,0.0,100.72,86.68
1981,Casablanca-Settat,113.73,15.12,20.45,11.19,,71.56,3.83,0.0,45.64,68.09
1981,Drâa-Tafilalet,74.73,12.55,21.02,5.32,,43.74,4.03,0.0,35.13,39.6
1981,Ed Dakhla-Oued Ed Dahab,30.36,18.08,20.04,16.47,,75.95,6.83,0.0,30.33,0.030000000000000002
1981,Fès-Meknès,298.45,13.25,20.53,7.64,,65.19,3.38,0.0,108.98,189.47
1981,Guelmim-Oued Noun,85.48,16.08,23.24,10.79,,57.4,5.23,0.0,67.86999999999999,17.61
1981,Laâyoune-Sakia El Hamra,76.69,17.86,24.7,12.53,,61.26,5.32,0.0,73.07,3.62
1981,Marrakech-Safi,88.61,14.2,22.5,7.98,,50.01,3.12,0.0,34.35,54.26
1981,Oriental,276.44,10.31,17.42,4.69,,70.64,3.67,0.0,130.06,146.38
1981,Rabat-Salé-Kénitra,135.22,15.35,19.33,12.36,,72.5,3.78,0.0,53.84,81.38
1981,Souss-Massa,95.24,17.03,24.0,11.42,,52.42,3.46,0.0,68.83,26.41
1981,Tanger-Tétouan-Al Hoceïma,194.33,14.88,17.32,12.79,,75.98,4.71,0.0,17.91,176.42000000000002
1982,Béni Mellal-Khénifra,675.61,13.72,20.59,8.58,,58.33,2.47,21.92,320.16,333.53
1982,Casablanca-Settat,475.19,16.88,21.77,13.34,,73.12,3.86,15.83,312.93,146.43
1982,Drâa-Tafilalet,303.48,12.34,20.02,6.21,,50.05,3.44,12.930000000000001,126.58,163.97
1982,Ed Dakhla-Oued Ed Dahab,16.35,19.27,21.09,17.78,,77.93,6.3,3.07,7.23,6.050000000000001
1982,Fès-Meknès,715.74,15.16,22.04,10.02,,63.16,3.4,15.209999999999999,367.19,333.34
1982,Guelmim-Oued Noun,283.06,17.51,24.52,12.46,,57.59,4.9,28.279999999999998,128.11,126.67
1982,Laâyoune-Sakia El Hamra,83.98,19.21,26.01,14.15,,63.53,5.24,10.0,31.78,42.2
1982,Marrakech-Safi,442.46,15.06,22.72,9.47,,55.35,3.04,18.5,210.72,213.24
1982,Oriental,409.53,11.93,19.01,6.73,,67.22,3.83,3.5,202.19,203.84
1982,Rabat-Salé-Kénitra,461.39,17.22,21.01,14.43,,73.46,3.85,21.360000000000003,294.69,145.34
1982,Souss-Massa,370.97,18.21,24.83,13.2,,54.67,3.32,15.58,205.18,150.21
1982,Tanger-Tétouan-Al Hoceïma,455.0,16.44,18.67,14.6,,78.07,5.11,11.31,339.71,103.98
1983,Béni Mellal-Khénifra,384.59,12.98,20.08,7.69,,56.4,2.42,77.04,228.39,79.16
1983,Casablanca-Settat,293.69,15.74,20.62,12.18,,72.9,3.78,72.35,145.35,75.99
1983,Drâa-Tafilalet,94.39,12.42,20.51,5.84,,43.1,3.58,23.189999999999998,26.619999999999997,44.58
1983,Ed Dakhla-Oued Ed Dahab,28.99,18.57,20.53,16.99,,75.94,6.37,16.360000000000003,5.0,7.63
1983,Fès-Meknès,480.93,13.73,20.85,8.41,,63.98,3.49,142.35,248.42000000000002,90.16
1983,Guelmim-Oued Noun,70.18,16.84,23.99,11.57,,52.19,5.03,12.1,48.57,9.51
1983,Laâyoune-Sakia El Hamra,27.13,18.9,26.0,13.63,,55.9,5.28,8.47,15.81,2.85
1983,Marrakech-Safi,137.93,14.53,22.48,8.69,,49.87,3.01,33.330000000000005,68.58,36.02
1983,Oriental,327.94,10.72,17.97,5.18,,66.33,3.77,160.54,91.46000000000001,75.94
1983,Rabat-Salé-Kénitra,309.59,16.09,19.83,13.31,,72.93,3.75,87.29,157.46,64.84
1983,Souss-Massa,113.59,17.62,24.54,12.24,,49.27,3.26,33.03,62.53,18.03
1983,Tanger-Tétouan-Al Hoceïma,279.02,15.05,17.41,13.05,,75.83,5.14,122.13,104.37,52.52
1984,Béni Mellal-Khénifra,396.44,13.21,20.5,7.91,17.703552631578944,57.43,2.56,90.01,72.56,233.87
1984,Casablanca-Settat,342.66,16.29,21.14,12.84,17.395855263157898,73.33,4.02,74.7,101.65,166.31
1984,Drâa-Tafilalet,111.51,12.47,20.58,5.86,18.895921052631575,45.29,3.74,36.97,13.78,60.76
1984,Ed Dakhla-Oued Ed Dahab,3.91,19.23,21.13,17.67,21.707763157894735,75.26,6.12,2.98,0.30000000000000004,0.63
1984,Fès-Meknès,529.8,14.17,21.05,9.07,15.720065789473686,64.98,3.57,108.08,147.47,274.25
1984,Guelmim-Oued Noun,98.81,17.23,24.33,12.03,20.324539473684204,56.24,4.46,25.86,25.330000000000002,47.62
1984,Laâyoune-Sakia El Hamra,38.9,19.23,26.05,14.04,20.485723684210527,61.61,5.17,19.54,8.03,11.33
1984,Marrakech-Safi,171.4,14.57,22.46,8.86,18.16559210526315,53.07,3.14,39.85,28.18,103.37
1984,Oriental,309.35,11.17,18.28,5.84,17.53809210526315,65.19,3.9,19.919999999999998,118.16,171.27
1984,Rabat-Salé-Kénitra,355.34,16.64,20.31,13.96,16.899868421052634,73.29,4.02,95.12,102.96000000000001,157.26
1984,Souss-Massa,157.88,17.64,24.33,12.56,19.814539473684217,53.63,3.45,62.94,37.29,57.65
1984,Tanger-Tétouan-Al Hoceïma,585.91,15.73,17.73,14.06,15.169671052631578,78.89,5.39,206.35,167.03,212.53
1985,Béni Mellal-Khénifra,350.38,12.81,20.32,7.1,15.935679012345679,55.27,2.69,80.71,161.68,107.99
1985,Casablanca-Settat,297.61,15.86,21.01,12.05,15.657242798353913,72.23,4.3,119.32,132.77,45.52
1985,Drâa-Tafilalet,171.74,11.7,19.78,5.1,17.162098765432095,46.93,3.74,28.900000000000002,61.46,81.38
1985,Ed Dakhla-Oued Ed Dahab,3.24,18.89,20.73,17.39,21.15292181069958,76.36,6.03,1.25,1.85,0.14
1985,Fès-Meknès,373.15,14.04,21.48,8.45,14.896913580246908,60.01,3.88,110.47,126.8,135.88
1985,Guelmim-Oued Noun,251.05,16.45,23.33,11.41,17.78596707818931,60.92,4.91,39.81,187.52,23.72
1985,Laâyoune-Sakia El Hamra,95.39,18.52,25.26,13.33,18.404691358024692,63.86,4.86,15.13,57.410000000000004,22.85
1985,Marrakech-Safi,260.04,13.97,21.92,8.09,16.238271604938276,55.19,3.31,75.15,148.67,36.22
1985,Oriental,302.44,10.99,18.15,5.48,15.695596707818947,65.55,4.05,105.84,69.76,126.84
1985,Rabat-Salé-Kénitra,270.06,16.26,20.29,13.21,15.239053497942384,71.46,4.43,99.68,112.55,57.830000000000005
1985,Souss-Massa,289.0,17.01,23.57,11.9,17.34954732510288,57.12,3.6,103.81,165.62,19.57
1985,Tanger-Tétouan-Al Hoceïma,372.89,15.52,17.72,13.67,14.282263374485595,77.72,5.24,129.4,169.28,74.21000000000001
1986,Béni Mellal-Khénifra,343.74,13.1,20.26,7.67,16.0022633744856,57.78,2.63,59.980000000000004,138.49,145.27
1986,Casablanca-Settat,309.14,16.02,20.81,12.49,15.668518518518521,73.06,3.95,34.53,177.62,96.99
1986,Drâa-Tafilalet,135.25,12.24,20.29,5.68,17.197530864197525,47.79,3.78,34.78,58.74,41.73
1986,Ed Dakhla-Oued Ed Dahab,10.68,18.57,20.52,16.99,19.773045267489717,77.28,6.46,9.4,0.78,0.5
1986,Fès-Meknès,525.49,14.14,20.85,8.99,14.540452674897116,65.67,3.69,94.92,258.23,172.34
1986,Guelmim-Oued Noun,189.4,16.85,23.76,11.86,17.46736625514404,60.67,4.87,26.35,103.03,60.02
1986,Laâyoune-Sakia El Hamra,112.92,18.59,25.49,13.36,18.19382716049383,64.91,5.26,36.43,59.5,16.99
1986,Marrakech-Safi,179.91,14.49,22.24,8.7,16.5377366255144,54.14,3.11,31.91,84.1,63.9
1986,Oriental,455.42,11.44,18.21,6.28,15.580041152263364,68.28,4.08,72.56,246.93,135.93
1986,Rabat-Salé-Kénitra,314.2,16.4,20.04,13.58,15.301234567901234,73.13,4.01,45.59,168.53,100.08
1986,Souss-Massa,175.8,17.65,24.45,12.39,17.423539094650216,54.36,3.49,17.24,93.89999999999999,64.66
1986,Tanger-Tétouan-Al Hoceïma,426.26,15.67,17.86,13.76,13.988518518518523,77.3,5.04,119.77,202.14,104.35
1987,Béni Mellal-Khénifra,704.42,13.65,20.73,8.36,15.983333333333336,58.71,2.42,124.39999999999999,554.99,25.03
1987,Casablanca-Settat,457.53,16.21,21.2,12.62,15.59930041152263,74.93,3.81,92.31,328.64,36.58
1987,Drâa-Tafilalet,218.4,12.81,20.77,6.39,16.665349794238683,49.03,3.52,70.62,109.13,38.65
1987,Ed Dakhla-Oued Ed Dahab,4.46,18.73,20.79,17.1,19.37181069958848,77.35,6.29,3.9799999999999995,0.16999999999999998,0.31
1987,Fès-Meknès,491.36,14.82,21.93,9.47,14.981069958847735,63.19,3.36,100.61,357.2,33.550000000000004
1987,Guelmim-Oued Noun,137.79,17.41,24.56,12.25,17.29065843621399,57.18,4.67,15.299999999999999,92.13,30.36
1987,Laâyoune-Sakia El Hamra,49.07,19.2,26.37,13.73,18.013703703703698,60.99,5.2,9.270000000000001,10.88,28.92
1987,Marrakech-Safi,215.15,15.21,23.17,9.43,16.24102880658437,52.92,3.07,62.76,140.45000000000002,11.94
1987,Oriental,419.5,11.61,18.68,6.22,15.529917695473257,68.97,3.87,202.41,187.35,29.74
1987,Rabat-Salé-Kénitra,384.98,16.57,20.4,13.76,15.2929218106996,74.56,3.76,97.85000000000001,267.51,19.62
1987,Souss-Massa,275.36,17.95,24.6,12.82,17.05654320987655,55.03,3.18,20.16,231.48,23.72
1987,Tanger-Tétouan-Al Hoceïma,442.43,15.99,18.3,14.05,13.976172839506173,78.35,4.94,148.03,246.99,47.41
1988,Béni Mellal-Khénifra,521.7,12.87,19.68,7.71,15.760204918032793,63.93,2.48,147.68,270.36,103.66
1988,Casablanca-Settat,447.08,15.87,20.3,12.55,15.436721311475406,76.68,4.1,143.75,231.95000000000002,71.38
1988,Drâa-Tafilalet,224.25,12.58,20.18,6.24,16.65434426229508,51.67,3.7,54.13,121.61,48.51
1988,Ed Dakhla-Oued Ed Dahab,49.79,19.02,20.76,17.59,19.29524590163935,80.03,6.17,1.65,44.7,3.44
1988,Fès-Meknès,569.99,13.96,20.61,8.96,14.515901639344262,69.71,3.27,198.54,251.24,120.21000000000001
1988,Guelmim-Oued Noun,354.5,16.58,23.26,11.76,17.724262295081957,65.39,4.72,46.47,251.26,56.77
1988,Laâyoune-Sakia El Hamra,151.82,18.81,25.31,13.89,18.184180327868845,66.95,5.2,43.28,96.53999999999999,12.0
1988,Marrakech-Safi,339.7,14.21,21.71,8.64,16.282663934426235,61.35,3.14,85.53,197.4,56.77
1988,Oriental,352.59,12.04,19.05,6.76,15.878360655737712,67.04,3.88,105.46000000000001,152.77,94.36
1988,Rabat-Salé-Kénitra,397.24,16.26,19.69,13.66,15.218032786885239,76.17,4.01,140.25,179.87,77.12
1988,Souss-Massa,465.05,17.31,23.65,12.35,17.375655737704918,62.37,3.44,95.2,289.66,80.19
1988,Tanger-Tétouan-Al Hoceïma,503.65,15.88,18.01,14.01,13.76069672131147,79.55,4.75,188.38,238.16,77.11
1989,Béni Mellal-Khénifra,537.2,12.63,19.59,7.44,15.919176954732512,60.19,2.58,134.06,152.64000000000001,250.5
1989,Casablanca-Settat,391.78,15.94,21.0,12.27,15.920823045267483,72.75,3.95,111.05,104.48,176.25
1989,Drâa-Tafilalet,233.95,11.24,18.49,5.26,17.053909465020567,52.88,3.47,126.13,54.46,53.36
1989,Ed Dakhla-Oued Ed Dahab,11.13,18.84,20.77,17.23,20.661028806584365,76.47,6.19,4.43,6.58,0.12000000000000001
1989,Fès-Meknès,486.73,14.23,21.44,8.91,14.751234567901236,61.61,3.58,124.67,113.94,248.12
1989,Guelmim-Oued Noun,358.03,16.04,22.59,11.21,17.521687242798365,62.25,5.22,243.15,63.879999999999995,51.0
1989,Laâyoune-Sakia El Hamra,165.46,18.43,25.18,13.29,18.24670781893004,61.51,5.29,61.93000000000001,83.82000000000001,19.71
1989,Marrakech-Safi,307.41,13.95,21.49,8.41,16.230288065843624,57.78,3.23,134.21,79.13,94.07000000000001
1989,Oriental,365.18,11.41,18.71,5.99,15.87711934156378,63.3,4.01,55.69,92.14,217.35
1989,Rabat-Salé-Kénitra,377.37,16.35,20.26,13.46,15.650411522633737,72.41,3.99,113.88,107.7,155.79
1989,Souss-Massa,323.7,17.07,23.45,12.05,17.48687242798354,58.82,3.63,189.13,72.22,62.35
1989,Tanger-Tétouan-Al Hoceïma,581.32,15.8,17.82,14.13,14.086378600823048,80.26,5.47,252.12,187.95000000000002,141.25
1990,Béni Mellal-Khénifra,522.49,14.05,21.09,8.77,16.263251028806575,60.68,2.62,154.88,155.19,212.42
1990,Casablanca-Settat,388.92,16.8,21.71,13.27,15.86403292181069,75.06,4.22,120.09,135.41,133.42
1990,Drâa-Tafilalet,274.03,12.49,19.67,6.67,17.058559670781893,55.21,3.5,83.88,73.98,116.17
1990,Ed Dakhla-Oued Ed Dahab,76.32,19.36,21.24,17.85,20.552798353909466,77.32,5.82,0.8500000000000001,70.83,4.64
1990,Fès-Meknès,592.53,15.29,22.29,10.15,15.09329218106995,65.99,3.41,164.93,199.69,227.91
1990,Guelmim-Oued Noun,251.15,17.57,24.32,12.68,17.49654320987654,61.47,4.55,96.03,102.85,52.269999999999996
1990,Laâyoune-Sakia El Hamra,124.52,19.6,26.28,14.54,18.394320987654325,63.69,5.29,28.56,68.69,27.27
1990,Marrakech-Safi,276.32,15.33,23.05,9.6,16.35407407407408,56.75,3.39,83.78999999999999,86.66,105.87
1990,Oriental,409.9,12.66,19.73,7.42,16.142016460905353,65.7,3.91,65.62,152.32,191.96
1990,Rabat-Salé-Kénitra,418.38,17.17,20.92,14.38,15.560987654320979,75.3,4.07,149.48,144.15,124.75
1990,Souss-Massa,314.56,18.25,24.51,13.31,17.39971193415637,58.4,3.4,116.36,115.25,82.95
1990,Tanger-Tétouan-Al Hoceïma,783.37,16.34,18.29,14.68,13.938765432098775,81.18,5.55,292.4,306.95,184.02
1991,Béni Mellal-Khénifra,612.55,12.17,18.79,7.14,16.091275720164614,63.16,2.51,60.17,257.40999999999997,294.97
1991,Casablanca-Settat,488.9,15.49,20.09,12.05,15.679958847736625,75.17,3.94,71.59,246.41,170.9
1991,Drâa-Tafilalet,256.54,11.36,19.03,5.13,17.36098765432099,53.67,3.6,18.169999999999998,106.04,132.32999999999998
1991,Ed Dakhla-Oued Ed Dahab,28.38,18.92,20.67,17.45,20.58069958847736,78.6,6.33,0.0,28.38,0.0
1991,Fès-Meknès,630.55,13.29,19.92,8.27,14.563703703703704,68.81,3.49,127.03999999999999,277.93,225.57999999999998
1991,Guelmim-Oued Noun,271.18,16.25,22.88,11.5,17.8477366255144,64.37,5.03,11.14,187.64000000000001,72.4
1991,Laâyoune-Sakia El Hamra,78.09,18.51,25.23,13.42,18.338148148148143,65.77,5.12,9.620000000000001,51.22,17.25
1991,Marrakech-Safi,328.99,13.59,21.02,8.1,16.47390946502058,60.0,3.16,17.939999999999998,189.89,121.16
1991,Oriental,581.67,10.37,17.0,5.26,15.623580246913583,71.37,3.86,70.89,214.85,295.93
1991,Rabat-Salé-Kénitra,480.48,15.91,19.43,13.18,15.081934156378598,74.62,3.98,75.29,238.03,167.16
1991,Souss-Massa,312.39,16.85,23.4,11.7,17.999218106995883,59.6,3.53,9.99,213.91,88.49000000000001
1991,Tanger-Tétouan-Al Hoceïma,498.19,15.21,17.35,13.3,13.51325102880659,77.14,5.16,130.41,247.99,119.78999999999999
1992,Béni Mellal-Khénifra,379.26,12.91,20.1,7.57,16.66049180327869,55.91,2.52,52.61,100.99,225.66
1992,Casablanca-Settat,270.4,16.05,21.11,12.44,16.2141393442623,72.16,3.87,81.2,47.269999999999996,141.93
1992,Drâa-Tafilalet,156.72,11.02,18.46,5.03,17.596721311475413,51.15,3.55,31.93,53.52,71.27
1992,Ed Dakhla-Oued Ed Dahab,164.27,18.93,20.76,17.37,20.47053278688525,78.48,6.36,0.0,164.27,0.0
1992,Fès-Meknès,374.95,14.3,21.6,8.83,15.337049180327867,58.63,3.65,60.5,71.51,242.94
1992,Guelmim-Oued Noun,113.05,16.86,23.72,11.84,17.39516393442623,57.77,5.15,27.400000000000002,53.33,32.32
1992,Laâyoune-Sakia El Hamra,137.21,18.39,25.08,13.32,18.026926229508195,64.73,5.33,15.55,110.97,10.69
1992,Marrakech-Safi,172.73,14.41,22.15,8.66,16.89397540983607,52.3,3.27,28.11,54.67,89.95
1992,Oriental,420.05,10.46,17.44,5.25,16.10766393442623,66.91,3.94,58.48,64.32,297.25
1992,Rabat-Salé-Kénitra,282.75,16.44,20.4,13.51,15.912049180327868,71.31,3.9,77.53,59.0,146.22
1992,Souss-Massa,157.25,17.71,24.28,12.58,17.74524590163934,53.41,3.74,45.31,80.21,31.73
1992,Tanger-Tétouan-Al Hoceïma,377.09,15.65,17.85,13.8,14.803524590163928,76.82,5.52,148.97,137.96,90.16
1993,Béni Mellal-Khénifra,357.79,12.27,19.59,6.84,16.232510288065836,56.68,2.49,65.42999999999999,117.54,174.82000000000002
1993,Casablanca-Settat,201.44,15.55,20.64,11.91,16.07205761316872,71.19,3.83,56.06,43.58,101.8
1993,Drâa-Tafilalet,152.95,11.36,19.05,5.13,17.65510288065844,48.16,3.61,30.73,64.03,58.19
1993,Ed Dakhla-Oued Ed Dahab,6.95,18.77,20.61,17.23,20.313004115226324,75.42,6.41,0.24000000000000002,3.3,3.41
1993,Fès-Meknès,378.45,13.52,20.89,8.04,15.011893004115235,60.92,3.45,101.16,75.66,201.63
1993,Guelmim-Oued Noun,89.19,16.0,22.69,11.14,18.122139917695474,58.91,5.07,6.470000000000001,58.379999999999995,24.34
1993,Laâyoune-Sakia El Hamra,52.05,18.07,24.56,13.2,18.415226337448548,62.35,5.15,6.61,20.93,24.51
1993,Marrakech-Safi,143.23,13.69,21.53,7.81,16.597407407407406,53.09,3.16,28.12,71.81,43.3
1993,Oriental,393.9,10.6,17.88,5.1,16.3288477366255,65.19,3.9,50.97,129.37,213.56
1993,Rabat-Salé-Kénitra,225.2,15.91,19.79,13.01,15.655761316872425,71.23,3.77,59.31,44.83,121.06
1993,Souss-Massa,151.42,16.73,23.29,11.58,18.106872427983536,55.48,3.56,14.82,97.09,39.51
1993,Tanger-Tétouan-Al Hoceïma,466.56,15.24,17.41,13.44,14.127407407407404,78.28,5.13,112.5,153.2,200.85999999999999
1994,Béni Mellal-Khénifra,487.55,12.34,19.31,7.09,16.24592592592592,63.02,2.48,189.86,236.72,60.97
1994,Casablanca-Settat,408.74,15.23,20.0,11.74,15.804074074074066,76.59,4.05,185.23,176.97,46.54
1994,Drâa-Tafilalet,241.25,11.68,19.35,5.44,17.859835390946508,53.21,3.97,157.4,53.49,30.36
1994,Ed Dakhla-Oued Ed Dahab,6.9,18.26,20.21,16.65,20.5819341563786,77.12,6.9,1.6199999999999999,5.28,0.0
1994,Fès-Meknès,481.97,13.58,20.65,8.38,14.944156378600832,66.84,3.56,165.55,253.07999999999998,63.339999999999996
1994,Guelmim-Oued Noun,139.68,16.18,22.96,11.28,17.82522633744856,62.25,4.86,86.69,36.95,16.04
1994,Laâyoune-Sakia El Hamra,95.59,17.91,24.51,12.94,18.54728395061727,65.63,5.53,31.419999999999998,48.13,16.04
1994,Marrakech-Safi,319.39,13.41,20.87,8.0,16.56962962962963,62.4,3.05,152.11,114.92,52.36
1994,Oriental,372.8,11.16,18.17,5.93,16.506831275720167,68.86,3.97,138.06,153.95,80.79
1994,Rabat-Salé-Kénitra,371.15,15.69,19.46,12.85,15.119465020576136,75.53,4.14,172.61,163.0,35.54
1994,Souss-Massa,218.26,16.82,23.4,11.78,18.005761316872427,59.19,3.42,116.82,52.910000000000004,48.53
1994,Tanger-Tétouan-Al Hoceïma,419.87,15.25,17.55,13.33,14.3920987654321,78.42,5.01,220.07,141.15,58.65
1995,Béni Mellal-Khénifra,327.18,14.28,21.99,8.69,16.99168724279836,52.97,2.39,73.58,54.48,199.12
1995,Casablanca-Settat,238.05,16.61,22.05,12.79,16.392469135802468,73.47,3.76,72.42,67.0,98.63
1995,Drâa-Tafilalet,273.08,12.48,20.02,6.38,17.605308641975302,51.63,3.36,128.72,10.969999999999999,133.39
1995,Ed Dakhla-Oued Ed Dahab,8.15,19.21,21.39,17.43,20.831728395061734,74.35,6.53,0.24000000000000002,7.84,0.07
1995,Fès-Meknès,257.65,15.27,22.86,9.74,15.762098765432086,59.17,3.31,90.45,45.39,121.81
1995,Guelmim-Oued Noun,187.98,17.49,24.68,12.38,18.09975308641975,57.8,4.7,43.78,56.15,88.05
1995,Laâyoune-Sakia El Hamra,86.32,18.97,25.91,13.77,18.656790123456783,61.73,5.38,21.05,5.95,59.32
1995,Marrakech-Safi,308.1,15.3,23.34,9.43,17.080987654320992,53.63,3.01,71.41,53.79,182.9
1995,Oriental,362.05,11.98,19.24,6.41,16.77074074074075,66.02,3.77,101.99,61.99,198.07
1995,Rabat-Salé-Kénitra,177.5,16.98,21.17,13.98,15.924897119341564,73.21,3.66,53.93000000000001,49.17999999999999,74.39
1995,Souss-Massa,170.24,18.73,25.61,13.4,18.214032921810702,52.22,3.35,49.51,33.97,86.76
