Year,Product,Element,Value_Sum,Value_Mean,Nb_Observations,Data_Source,Precip_Total_mm,Temp_Mean_C,Humidity_Pct,Wind_Speed_ms,Solar_Radiation,Precip_Autumn_mm,Precip_Winter_mm,Precip_Spring_mm,Dry_Year,Winter_Spring_Deficit,Thermal_Amplitude,Spring_Rain_Ratio,Crop_Type,Crop_Type_FR,Value_Mean_Log,Crop_Type_Code,Superficie_ha
1985,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,269.788,12.654,52.335,3.182,16.425,61.464,124.001,84.322,0,39.68,13.85,0.313,Fruit,Fruits,8.688790784847216,2,12300.0
1986,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,238.003,13.077,53.556,3.128,16.528,45.546,99.7,92.757,0,6.94,13.49,0.39,Fruit,Fruits,8.688790784847216,2,12300.0
1987,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,436.459,13.668,54.164,2.935,16.274,93.249,316.031,27.179,0,288.85,13.35,0.062,Fruit,Fruits,8.688790784847216,2,12300.0
1988,Abricots,Rendement,7022.9,7022.9,1,FAOSTAT,381.192,13.036,59.123,3.039,16.178,102.508,203.706,74.98,0,128.73,12.88,0.197,Fruit,Fruits,8.857073898311556,2,13100.0
1989,Abricots,Rendement,6044.8,6044.8,1,FAOSTAT,385.105,12.407,57.15,3.021,16.379,131.314,103.575,150.215,0,-46.64,12.71,0.39,Fruit,Fruits,8.707119095070126,2,13400.0
1990,Abricots,Rendement,5459.3,5459.3,1,FAOSTAT,386.295,13.76,57.98,3.082,16.56,115.812,113.06,157.422,0,-44.36,12.78,0.408,Fruit,Fruits,8.605259012284472,2,13500.0
1991,Abricots,Rendement,6633.1,6633.1,1,FAOSTAT,431.234,12.17,59.206,3.022,16.612,37.024,190.927,203.284,0,-12.36,12.69,0.471,Fruit,Fruits,8.799978293255311,2,13900.0
1992,Abricots,Rendement,4888.9,4888.9,1,FAOSTAT,260.065,12.548,53.522,3.03,17.035,40.472,75.111,144.482,0,-69.37,13.04,0.556,Fruit,Fruits,8.494927132362065,2,13500.0
1993,Abricots,Rendement,8391.6,8391.6,1,FAOSTAT,243.184,12.235,52.98,3.016,16.803,45.823,89.666,107.696,0,-18.03,13.35,0.443,Fruit,Fruits,9.035105644183858,2,14300.0
1994,Abricots,Rendement,6069.0,6069.0,1,FAOSTAT,367.713,12.323,59.463,3.116,16.876,170.949,148.23,48.534,0,99.7,12.94,0.132,Fruit,Fruits,8.711113884053544,2,14500.0
