Year,Product,Element,Value_Sum,Value_Mean,Nb_Observations,Data_Source,Precip_Total_mm,Temp_Mean_C,Humidity_Pct,Wind_Speed_ms,Solar_Radiation,Precip_Autumn_mm,Precip_Winter_mm,Precip_Spring_mm,Dry_Year,Winter_Spring_Deficit,Thermal_Amplitude,Spring_Rain_Ratio,Crop_Type,Crop_Type_FR,Decade,Period_Label,Element_FR
1981,Abricots,Production,64000.0,64000.0,1,FAOSTAT,128.208,12.979,50.174,3.164,18.213,0.0,64.49,63.718,1,0.77,14.49,0.497,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1982,Abricots,Production,65000.0,65000.0,1,FAOSTAT,498.734,13.505,54.836,2.924,18.213,18.09,230.519,250.126,0,-19.61,12.89,0.502,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1983,Abricots,Production,66000.0,66000.0,1,FAOSTAT,233.688,13.094,50.439,2.944,18.213,49.451,125.809,58.429,0,67.38,13.47,0.25,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1984,Abricots,Production,70000.0,70000.0,1,FAOSTAT,251.706,13.223,52.309,3.089,18.213,61.414,43.111,147.182,0,-104.07,13.54,0.585,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1985,Abricots,Production,73000.0,73000.0,1,FAOSTAT,269.788,12.654,52.335,3.182,16.425,61.464,124.001,84.322,0,39.68,13.85,0.313,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1986,Abricots,Production,73000.0,73000.0,1,FAOSTAT,238.003,13.077,53.556,3.128,16.528,45.546,99.7,92.757,0,6.94,13.49,0.39,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1987,Abricots,Production,73000.0,73000.0,1,FAOSTAT,436.459,13.668,54.164,2.935,16.274,93.249,316.031,27.179,0,288.85,13.35,0.062,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1988,Abricots,Production,92000.0,92000.0,1,FAOSTAT,381.192,13.036,59.123,3.039,16.178,102.508,203.706,74.98,0,128.73,12.88,0.197,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1989,Abricots,Production,81000.0,81000.0,1,FAOSTAT,385.105,12.407,57.15,3.021,16.379,131.314,103.575,150.215,0,-46.64,12.71,0.39,Fruit,Fruits,1980s,1981-1990,Production (tonnes)
1990,Abricots,Production,73700.0,73700.0,1,FAOSTAT,386.295,13.76,57.98,3.082,16.56,115.812,113.06,157.422,0,-44.36,12.78,0.408,Fruit,Fruits,1990s,1981-1990,Production (tonnes)
1991,Abricots,Production,92200.0,92200.0,1,FAOSTAT,431.234,12.17,59.206,3.022,16.612,37.024,190.927,203.284,0,-12.36,12.69,0.471,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1992,Abricots,Production,66000.0,66000.0,1,FAOSTAT,260.065,12.548,53.522,3.03,17.035,40.472,75.111,144.482,0,-69.37,13.04,0.556,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1993,Abricots,Production,120000.0,120000.0,1,FAOSTAT,243.184,12.235,52.98,3.016,16.803,45.823,89.666,107.696,0,-18.03,13.35,0.443,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1994,Abricots,Production,88000.0,88000.0,1,FAOSTAT,367.713,12.323,59.463,3.116,16.876,170.949,148.23,48.534,0,99.7,12.94,0.132,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1995,Abricots,Production,78000.0,78000.0,1,FAOSTAT,304.429,13.854,52.633,2.854,17.224,92.445,39.114,172.871,0,-133.76,13.54,0.568,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1996,Abricots,Production,88100.0,88100.0,1,FAOSTAT,546.167,13.089,61.852,3.169,16.104,69.7,304.609,171.858,0,132.75,12.07,0.315,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1997,Abricots,Production,103600.0,103600.0,1,FAOSTAT,458.247,13.69,56.152,2.989,17.852,33.374,247.388,177.486,0,69.9,12.77,0.387,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1998,Abricots,Production,116800.0,116800.0,1,FAOSTAT,289.165,13.871,56.304,3.113,17.948,64.471,173.763,50.931,0,122.83,13.33,0.176,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
1999,Abricots,Production,106400.0,106400.0,1,FAOSTAT,239.054,13.584,48.696,3.041,18.521,6.289,171.008,61.756,0,109.25,14.0,0.258,Fruit,Fruits,1990s,1991-2000,Production (tonnes)
2000,Abricots,Production,119600.0,119600.0,1,FAOSTAT,244.512,13.388,51.878,3.085,17.638,112.874,52.997,78.641,0,-25.64,13.74,0.322,Fruit,Fruits,2000s,1991-2000,Production (tonnes)
2001,Abricots,Production,104300.0,104300.0,1,FAOSTAT,264.19,13.57,51.706,3.165,18.514,99.241,130.804,34.146,0,96.66,14.1,0.129,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2002,Abricots,Production,86200.0,86200.0,1,FAOSTAT,301.615,14.263,50.509,3.06,17.625,38.311,83.644,179.661,0,-96.02,13.41,0.596,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2003,Abricots,Production,97950.0,97950.0,1,FAOSTAT,310.451,14.022,53.554,3.134,18.021,129.639,95.688,85.124,0,10.56,13.44,0.274,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2004,Abricots,Production,85000.0,85000.0,1,FAOSTAT,362.514,12.892,57.379,3.132,17.432,107.264,111.054,144.196,0,-33.14,12.98,0.398,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2005,Abricots,Production,103600.0,103600.0,1,FAOSTAT,227.186,13.375,50.753,3.016,17.776,83.56,115.84,27.787,0,88.05,13.57,0.122,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2006,Abricots,Production,129440.0,129440.0,1,FAOSTAT,423.234,13.094,58.325,3.046,17.237,87.418,237.247,98.57,0,138.68,12.69,0.233,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2007,Abricots,Production,105234.0,105234.0,1,FAOSTAT,311.23,13.263,52.574,2.954,17.797,73.112,100.493,137.626,0,-37.13,13.27,0.442,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2008,Abricots,Production,113216.0,113216.0,1,FAOSTAT,296.467,13.584,52.39,3.03,18.129,120.328,132.254,43.885,0,88.37,13.34,0.148,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2009,Abricots,Production,133598.0,133598.0,1,FAOSTAT,504.233,11.57,64.805,3.046,17.5,211.098,207.003,86.132,0,120.87,12.13,0.171,Fruit,Fruits,2000s,2001-2010,Production (tonnes)
2010,Abricots,Production,134933.0,134933.0,1,FAOSTAT,471.288,14.396,57.581,3.248,17.383,22.323,347.012,101.954,0,245.06,12.8,0.216,Fruit,Fruits,2010s,2001-2010,Production (tonnes)
2011,Abricots,Production,159124.0,159124.0,1,FAOSTAT,485.542,13.321,57.158,3.108,17.234,127.327,120.092,238.122,0,-118.03,12.69,0.49,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2012,Abricots,Production,122405.0,122405.0,1,FAOSTAT,346.863,12.578,53.315,2.944,18.196,168.254,48.628,129.981,0,-81.35,13.09,0.375,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2013,Abricots,Production,100698.1,100698.1,1,FAOSTAT,414.146,12.949,57.514,3.227,18.122,187.581,71.056,155.51,0,-84.45,13.07,0.375,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2014,Abricots,Production,90273.55,90273.55,1,FAOSTAT,250.687,13.902,51.69,3.009,18.196,45.842,120.52,84.325,0,36.19,13.58,0.336,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2015,Abricots,Production,103954.52,103954.52,1,FAOSTAT,397.459,13.308,59.19,3.106,17.726,190.54,125.0,81.918,0,43.08,12.64,0.206,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2016,Abricots,Production,71155.6,71155.6,1,FAOSTAT,157.259,14.016,48.976,3.009,18.307,26.921,48.406,81.932,1,-33.53,13.71,0.521,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2017,Abricots,Production,112538.2,112538.2,1,FAOSTAT,286.144,13.958,54.49,2.889,17.923,96.665,157.861,31.618,0,126.24,13.21,0.11,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2018,Abricots,Production,101612.4,101612.4,1,FAOSTAT,361.25,12.8,52.966,3.12,17.689,32.621,152.041,176.588,0,-24.55,13.11,0.489,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2019,Abricots,Production,109795.2,109795.2,1,FAOSTAT,285.454,13.73,52.653,2.845,18.418,148.089,25.397,111.968,0,-86.57,13.47,0.392,Fruit,Fruits,2010s,2011-2024,Production (tonnes)
2020,Abricots,Production,93007.9,93007.9,1,FAOSTAT,338.06,14.408,50.501,2.918,18.251,38.232,59.293,240.535,0,-181.24,13.46,0.712,Fruit,Fruits,2020s,2011-2024,Production (tonnes)
2021,Abricots,Production,78449.0,78449.0,1,FAOSTAT,289.154,14.024,55.62,3.035,17.862,61.059,147.256,80.84,0,66.42,13.17,0.28,Fruit,Fruits,2020s,2011-2024,Production (tonnes)
2022,Abricots,Production,68000.5,68000.5,1,FAOSTAT,417.153,13.854,52.636,2.929,18.115,33.636,55.507,328.011,0,-272.5,13.47,0.786,Fruit,Fruits,2020s,2011-2024,Production (tonnes)
2023,Abricots,Production,58996.38,58996.38,1,FAOSTAT,192.092,15.458,47.143,2.922,17.947,23.989,117.1,51.004,1,66.1,13.58,0.266,Fruit,Fruits,2020s,2011-2024,Production (tonnes)
2024,Abricots,Production,40812.51,40812.51,1,FAOSTAT,160.01,15.837,42.215,3.046,18.225,32.529,55.632,71.849,1,-16.22,14.18,0.449,Fruit,Fruits,2020s,2011-2024,Production (tonnes)
1985,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,269.788,12.654,52.335,3.182,16.425,61.464,124.001,84.322,0,39.68,13.85,0.313,Fruit,Fruits,1980s,1981-1990,Rendement (hg/ha)
1986,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,238.003,13.077,53.556,3.128,16.528,45.546,99.7,92.757,0,6.94,13.49,0.39,Fruit,Fruits,1980s,1981-1990,Rendement (hg/ha)
1987,Abricots,Rendement,5935.0,5935.0,1,FAOSTAT,436.459,13.668,54.164,2.935,16.274,93.249,316.031,27.179,0,288.85,13.35,0.062,Fruit,Fruits,1980s,1981-1990,Rendement (hg/ha)
1988,Abricots,Rendement,7022.9,7022.9,1,FAOSTAT,381.192,13.036,59.123,3.039,16.178,102.508,203.706,74.98,0,128.73,12.88,0.197,Fruit,Fruits,1980s,1981-1990,Rendement (hg/ha)
1989,Abricots,Rendement,6044.8,6044.8,1,FAOSTAT,385.105,12.407,57.15,3.021,16.379,131.314,103.575,150.215,0,-46.64,12.71,0.39,Fruit,Fruits,1980s,1981-1990,Rendement (hg/ha)
1990,Abricots,Rendement,5459.3,5459.3,1,FAOSTAT,386.295,13.76,57.98,3.082,16.56,115.812,113.06,157.422,0,-44.36,12.78,0.408,Fruit,Fruits,1990s,1981-1990,Rendement (hg/ha)
1991,Abricots,Rendement,6633.1,6633.1,1,FAOSTAT,431.234,12.17,59.206,3.022,16.612,37.024,190.927,203.284,0,-12.36,12.69,0.471,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1992,Abricots,Rendement,4888.9,4888.9,1,FAOSTAT,260.065,12.548,53.522,3.03,17.035,40.472,75.111,144.482,0,-69.37,13.04,0.556,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1993,Abricots,Rendement,8391.6,8391.6,1,FAOSTAT,243.184,12.235,52.98,3.016,16.803,45.823,89.666,107.696,0,-18.03,13.35,0.443,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1994,Abricots,Rendement,6069.0,6069.0,1,FAOSTAT,367.713,12.323,59.463,3.116,16.876,170.949,148.23,48.534,0,99.7,12.94,0.132,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1995,Abricots,Rendement,5693.4,5693.4,1,FAOSTAT,304.429,13.854,52.633,2.854,17.224,92.445,39.114,172.871,0,-133.76,13.54,0.568,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1996,Abricots,Rendement,6384.1,6384.1,1,FAOSTAT,546.167,13.089,61.852,3.169,16.104,69.7,304.609,171.858,0,132.75,12.07,0.315,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1997,Abricots,Rendement,7507.2,7507.2,1,FAOSTAT,458.247,13.69,56.152,2.989,17.852,33.374,247.388,177.486,0,69.9,12.77,0.387,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1998,Abricots,Rendement,8588.2,8588.2,1,FAOSTAT,289.165,13.871,56.304,3.113,17.948,64.471,173.763,50.931,0,122.83,13.33,0.176,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
1999,Abricots,Rendement,7639.8,7639.8,1,FAOSTAT,239.054,13.584,48.696,3.041,18.521,6.289,171.008,61.756,0,109.25,14.0,0.258,Fruit,Fruits,1990s,1991-2000,Rendement (hg/ha)
2000,Abricots,Rendement,8591.3,8591.3,1,FAOSTAT,244.512,13.388,51.878,3.085,17.638,112.874,52.997,78.641,0,-25.64,13.74,0.322,Fruit,Fruits,2000s,1991-2000,Rendement (hg/ha)
2001,Abricots,Rendement,7613.1,7613.1,1,FAOSTAT,264.19,13.57,51.706,3.165,18.514,99.241,130.804,34.146,0,96.66,14.1,0.129,Fruit,Fruits,2000s,2001-2010,Rendement (hg/ha)
2002,Abricots,Rendement,6896.0,6896.0,1,FAOSTAT,301.615,14.263,50.509,3.06,17.625,38.311,83.644,179.661,0,-96.02,13.41,0.596,Fruit,Fruits,2000s,2001-2010,Rendement (hg/ha)
2003,Abricots,Rendement,7786.2,7786.2,1,FAOSTAT,310.451,14.022,53.554,3.134,18.021,129.639,95.688,85.124,0,10.56,13.44,0.274,Fruit,Fruits,2000s,2001-2010,Rendement (hg/ha)
2004,Abricots,Rendement,6805.4,6805.4,1,FAOSTAT,362.514,12.892,57.379,3.132,17.432,107.264,111.054,144.196,0,-33.14,12.98,0.398,Fruit,Fruits,2000s,2001-2010,Rendement (hg/ha)
